spec,loc,num,aspect_ratio,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,species
BANG,PWM,20,0.238234512,4.21,130.01,72.76,0.0394,0.2472,-0.0138,0,0.6646,0.1011,242.13,-0.9607,0
BANG,PWM,21,0.268566494,8.41,169.17,79.45,0.3792,0.2024,0.0973,0,0.8175,0.1084,238.95,-2.5776,0
BANG,PWM,22,0.317734645,5.05,145.67,61.84,0.0348,0.1368,0.0042,0,0.9698,0.014,225.58,-0.6959,0
BANG,PWM,23,0.264886515,8.51,169.14,77.01,0.3415,0.1554,0.2291,0.0018,0.9968,0.0266,238.78,-8.1273,0
BANG,PWM,24,0.286560733,3.12,127.78,80.12,0.0469,0.2241,0.0818,0,0.8608,0.0595,237.82,-5.4878,0
BANG,PWM,25,0.251521298,6.63,182.42,83.85,0.0671,0.0842,0.1172,0,0.8587,0.0378,241.7,-6.0846,0
BANG,PWM,26,0.264243615,14.09,53.22,91.03,0.9808,0.1929,0.1334,0.0003,0.928,0.0501,235.85,-3.5426,0
BANG,PWM,27,0.316615226,7.39,145.64,74.35,0.1874,0.2056,0.0694,0,0.9762,0.0504,233.69,-6.8929,0
BANG,PWM,28,0.296968191,9.12,107.8,123.59,0.571,0.1838,0.0551,0,0.9783,0.0432,235.88,-2.5032,0
BANG,PWM,29,0.256565657,6.49,156.51,94.49,0.1298,0.207,0.0393,0,0.7553,0.0373,237.25,-3.086,0
BANG,PWM,30,0.239651991,3.35,129.22,61.65,0.1708,0.2255,0.0009,0,1.2721,0.0945,233.94,-2.0571,0
BANG,PWM,31,0.262642309,7.06,135.61,81.95,0.2677,0.1802,0.1982,0.0013,0.6021,0.0975,243.6,-3.2458,0
BANG,PWM,32,0.308366733,8.54,153.38,82.58,0.2821,0.21,0.0895,0,0.778,0.0606,231.98,-3.7657,0
BANG,PWM,33,0.301767677,4.21,143.18,90.64,0.0782,0.1473,0.0436,0,0.823,0.1091,240.42,-3.9026,0
