spec,loc,num,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b
TILA,CFM,25,-0.0029,0.0007,1.5576,0.0326,215.55,7.2462
TILA,CFM,26,0.1492,0.0021,1.0124,0.0102,236.63,-3.9693
TILA,CFM,27,0.2398,0.0061,1.0466,0.0137,233.47,-5.0658
TILA,CFM,28,0.1442,0.0034,1.0005,0.0093,227.48,-3.6388
TILA,CFM,29,0.0635,0.0001,1.6534,0.0196,226.61,-0.5178
TILA,CFM,30,0.2,0.0057,1.3214,0.0119,225.52,-1.7135
TILA,NFP,1,-0.0283,0.0022,0.6104,0.0277,236.42,5.3632
TILA,NFP,2,0.0929,0.0028,0.7709,0.0171,229.71,3.7542
TILA,NFP,3,0.1108,0.0046,0.7053,0.0272,229.03,5.6908
TILA,NFP,4,0.2035,0.003,0.8576,0.0112,214.6,-15.8254
TILA,NFP,5,0.3596,0.004,1.0571,0.0056,238.67,-16.5808
TILA,NFP,6,0.7691,0.0283,0.9546,0.0086,240.81,-27.303
TILA,NFP,7,0.1091,0,1.2822,0.0082,237.9,-11.0903
TILA,NFP,8,0.2558,0.0043,0.9392,0.0046,238.97,-16.5488
TILA,NFP,9,0.2667,0.0005,1.0398,0.0161,230.24,-17.0091
TILA,NFP,10,0.1118,0.0006,1.1007,0.0049,240.64,-16.7829
TILA,NFP,11,0.2365,0.002,0.7526,0.0062,215.07,-18.0075
TILA,NFP,12,0.4092,0.0008,1.2309,0.004,218.23,-13.2208
TILA,NFP,13,0.7765,0.0323,0.8557,0.0102,212.79,-23.71
TILA,NFP,14,0.3919,0.0203,0.7284,0.0038,224.34,-25.7577
TILA,NFP,15,0.3292,0.0165,0.8267,0.0026,212.64,-22.1052
TILA,NFP,16,0.0313,0.0003,0.9274,0.0225,236.28,3.3138
TILA,NFP,17,0.1279,0.0018,0.8076,0.0251,226.81,3.4682
TILA,NFP,18,0.0144,0.001,0.9216,0.0197,235.9,4.2393
TILA,NFP,19,-0.0352,0.0029,0.7529,0.0238,234.46,2.0297
TILA,NFP,20,0.0353,0,0.7133,0.0266,235.34,3.916
TILA,NFP,21,0.2085,0.0034,0.72,0.0217,232.38,3.4805
TILA,NFP,22,-0.0203,0.0009,0.8569,0.0105,222.11,3.7949
TILA,NFP,23,0.1476,0.0056,0.6244,0.0149,219.59,4.2368
TILA,NFP,24,0.0703,0.0031,0.9877,0.02,224.21,2.89
TILA,NFP,25,-0.0235,0.0011,0.6669,0.0169,229.35,2.7937
TILA,NFP,26,0.0323,0.0016,0.9229,0.0089,233.39,2.6571
TILA,NFP,27,0.1106,0.0039,0.6633,0.0147,221,2.6908
TILA,NFP,28,0.0479,0.0011,0.8127,0.0121,233.45,2.2178
TILA,NFP,29,0.1265,0.0023,0.7295,0.0112,224.2,3.0351
TILA,NFP,30,-0.028,0.0013,0.815,0.019,226.45,3.5054
TILA,PWM,1,0.144,0.001,1.0075,0.0226,228.96,-1.5047
TILA,PWM,2,0.0632,0.002,1.1313,0.0079,222.51,-0.4455
TILA,PWM,3,0.2336,0,0.9859,0.016,221.89,-1.7562
TILA,PWM,4,0.1067,0,0.7211,0.0095,220.82,-0.68
TILA,PWM,5,0.0269,0,1.0957,0.0157,227.56,-3.6588
TILA,PWM,6,0.0364,0.0014,1.1792,0.0117,221.33,-0.8071
TILA,PWM,7,0.1044,0.0014,0.5914,0.0175,218.32,1.2591
TILA,PWM,8,0.0544,0.0014,1.2323,0.0169,216.36,-0.9492
TILA,PWM,10,0.1888,0.0033,0.6172,0.0157,216.98,1.0206
TILA,PWM,11,0.0554,0,1.2066,0.0156,219.59,-5.5635
TILA,PWM,12,0.0241,0.0006,1.5162,0.0113,224.11,-0.7484
TILA,PWM,13,0.0578,0.0024,0.9127,0.009,227.55,-0.8647
TILA,PWM,14,0.1137,0.0047,1.1628,0.0084,217.71,-2.9606
TILA,PWM,15,0.1099,0.0013,1.1655,0.011,223.15,0.8477
TILA,PWM,16,0.0433,0,1.396,0.013,220.18,-1.2477
TILA,PWM,17,0.0028,0,1.4593,0.0204,227.21,-2.9297
TILA,PWM,18,0.0288,0.0003,1.3717,0.0143,230.56,-0.9745
TILA,PWM,19,0.0665,0,1.2204,0.011,223.26,-0.569
TILA,PWM,20,0.0693,0.0005,0.9963,0.0137,223.01,-3.5305
TILA,PWM,21,0.0149,0,1.1307,0.0106,219.46,-2.04
TILA,PWM,22,0.0254,0.0002,1.4469,0.0125,223.06,-0.5653
TILA,PWM,23,0.0501,0,1.2111,0.0087,225.8,-0.483
TILA,PWM,24,-0.0518,0,1.3674,0.0106,221.45,-0.0387
TILA,PWM,25,0.0967,0,1.5815,0.0113,229.47,-2.9851
TILA,PWM,26,0.0885,0,1.0571,0.015,221.8,-3.409
TILA,PWM,27,0.0229,0.0001,1.0667,0.0166,229.12,-0.4171
TILA,PWM,28,0.0724,0,1.4993,0.0106,222.1,-2.0889
TILA,PWM,29,0.1554,0.0021,1.2832,0.0121,218.53,0.7093
TILA,PWM,30,0.0697,0.0005,1.0543,0.0192,222.25,-0.7627
TILA,PWM,31,0.0186,0,1.3887,0.0173,223.2,-3.7724
TILA,PWM,32,0.0176,0,1.2536,0.0085,216.97,-1.5407
