spec,loc,num,aspect_ratio,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,gill_score,eye_score,body_score,rule_score,rule_quality
BANG,CFM,61,0.30269058295964124,0.79,176.56,63.07,0.0,0.138,-0.0718,0.0,0.9438,0.0018,232.29,-1.7338,0.95,0.71,0.21,0.73,high
BANG,CFM,62,0.24710144927536232,177.49,139.34,81.05,0.0,0.1562,-0.0315,0.0,0.9497,0.0599,239.0,3.3211,0.81,0.66,0.34,0.67,mid
BANG,CFM,63,0.27470558115719407,178.23,158.79,80.43,0.0,0.0983,-0.0866,0.0,0.9138,0.0423,230.35,7.0283,0.88,0.74,0.16,0.69,mid
BANG,CFM,64,0.2775372775372775,0.09,153.9,85.09,0.0072,0.208,0.0744,0.0,0.8691,0.0289,243.64,5.6266,0.88,0.61,0.32,0.69,mid
BANG,CFM,65,0.23787878787878788,0.18,115.56,99.69,0.0,0.2524,-0.033,0.0001,0.7967,0.0435,241.95,5.7069,0.76,0.76,0.35,0.68,mid
BANG,NFP,01,0.22651149588418962,8.89,119.88,41.49,0.48,0.1627,0.0174,0.0,0.7736,0.1091,236.2,-0.449,0.38,0.74,0.5,0.51,mid
BANG,NFP,02,0.26928850195136594,0.27,164.03,56.68,0.004,0.2608,0.0708,0.0,0.6212,0.1113,240.05,-0.5652,0.89,0.79,0.57,0.8,high
BANG,NFP,03,0.25995539980885635,6.18,179.56,80.02,0.3972,0.3634,-0.0863,0.0,0.9986,0.1143,235.9,-2.0362,0.59,0.69,0.54,0.61,mid
BANG,NFP,04,0.23295111647555825,11.04,113.37,114.46,0.8329,0.122,-0.0074,0.0,0.8617,0.1291,236.2,-3.7062,0.32,0.7,0.62,0.49,mid
BANG,NFP,05,0.248868778280543,6.82,156.79,59.51,0.089,0.2392,0.0323,0.0,0.8702,0.1375,237.32,-1.9232,0.7,0.66,0.62,0.67,mid
BANG,NFP,06,0.3199274266706985,5.98,156.4,51.29,0.1777,0.2464,-0.0062,0.0,0.8477,0.1441,236.38,-5.5153,0.67,0.71,0.71,0.69,mid
BANG,NFP,07,0.2598908594815825,179.32,191.58,50.08,0.0051,0.2046,0.0281,0.0,0.817,0.1386,241.86,-1.4337,0.97,0.7,0.69,0.83,high
BANG,NFP,08,0.2701863354037267,2.83,182.52,68.03,0.162,0.2604,0.0865,0.0002,0.57,0.1512,235.09,2.7251,0.81,0.77,0.52,0.74,high
BANG,NFP,09,0.22451384796700058,3.15,159.26,80.68,0.1698,0.3546,-0.0482,0.0028,0.8099,0.1403,235.72,2.5375,0.71,0.48,0.5,0.6,mid
BANG,NFP,10,,,,,,,,,,,,,,,,,none
BANG,NFP,11,0.30286493860845837,178.11,170.97,61.09,0.001,0.1927,-0.0409,0.0,0.7064,0.1784,240.33,2.9389,0.9,0.84,0.66,0.83,high
BANG,NFP,12,0.2302439024390244,1.71,154.4,80.7,0.0461,0.2663,-0.0566,0.0002,0.8869,0.1367,239.47,1.3121,0.81,0.71,0.58,0.73,high
