spec,loc,num,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,gill_score,eye_score,body_score,rule_score,rule_quality
CARP,NFP,15,1.76,148.1,154.54,0.0288,0.336,0.3693,0.0082,0.8891,0.0751,230.52,3.9722,0.8,0.31,0.43,0.58,mid
CARP,NFP,16,2.14,153.71,76.36,0.015,0.2529,0.2541,0.0018,0.6985,0.032,231.27,-1.1466,0.8,0.68,0.39,0.68,mid
CARP,NFP,17,1.44,136.3,106.84,0.0181,0.3097,0.1502,0,0.8446,0.0765,231.42,-2.4571,0.78,0.67,0.67,0.72,high
CARP,NFP,18,1.46,150.96,141.26,0.0418,0.289,0.0554,0,0.8636,0.0698,231.78,-3.5589,0.82,0.73,0.67,0.76,high
CARP,NFP,19,1.41,131.58,93.62,0.0195,0.2522,0.0282,0.0002,0.9266,0.0399,232.73,-0.1319,0.78,0.69,0.42,0.68,mid
CARP,NFP,20,1.78,169.35,94.56,0.023,0.2326,0.1444,0,0.8167,0.03,242.77,-0.2763,0.87,0.7,0.55,0.76,high
CARP,NFP,21,1.99,148.54,93.93,0.0325,0.2617,0.141,0,0.8234,0.0748,231.93,1.5991,0.81,0.7,0.53,0.72,high
CARP,NFP,22,3.3,133.68,133.02,0.0219,0.2627,0.0633,0,0.9357,0.032,226.78,5.504,0.76,0.66,0.09,0.6,mid
CARP,NFP,23,4.14,167.41,120.33,0.1961,0.2882,0.089,0,0.8271,0.0085,245.32,0.6364,0.77,0.74,0.44,0.69,mid
CARP,NFP,24,2.3,152.92,119.31,0.0145,0.2302,0.0393,0,0.9027,0.0304,231.04,-1.9913,0.83,0.71,0.41,0.71,high
CARP,NFP,25,3.34,147.39,125.76,0.0757,0.2796,0.0952,0,0.7936,0.0437,231.73,-0.4038,0.77,0.76,0.43,0.7,mid
CARP,NFP,26,3.12,128.92,120.61,0.017,0.3204,0.0588,0,0.7785,0.0582,233.3,-1.8821,0.73,0.8,0.59,0.72,high
