spec,loc,num,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b
TILA,PWM,17,0.0028,0.0,1.4593,0.015,236.52,-2.9297
TILA,PWM,18,0.0288,0.0003,1.3717,0.0114,238.14,-0.9745
TILA,PWM,19,0.0665,0.0,1.2204,0.008,232.7,-0.569
TILA,PWM,20,0.0693,0.0005,0.9963,0.0093,233.74,-3.5305
TILA,PWM,21,0.0149,0.0,1.1307,0.0075,229.35,-2.04
TILA,PWM,22,0.0254,0.0002,1.4469,0.0091,232.35,-0.5653
TILA,PWM,23,0.0501,0.0,1.2111,0.0063,235.93,-0.483
TILA,PWM,24,-0.0518,0.0,1.3674,0.0073,232.9,-0.0387
TILA,PWM,25,0.0967,0.0,1.5815,0.0088,237.83,-2.9851
TILA,PWM,26,0.0885,0.0,1.0571,0.0109,231.22,-3.409
TILA,PWM,27,0.0229,0.0001,1.0667,0.0123,239.0,-0.4171
TILA,PWM,28,0.0724,0.0,1.4993,0.0071,233.55,-2.0889
TILA,PWM,29,0.1554,0.0021,1.2832,0.0084,228.74,0.7093
TILA,PWM,30,0.0697,0.0005,1.0543,0.0129,233.38,-0.7627
TILA,PWM,31,0.0186,0.0,1.3887,0.0121,233.03,-3.7724
TILA,PWM,32,0.0176,0.0,1.2536,0.0052,230.76,-1.5407
